Country,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,Flag
Italy,8.916,8.774,8.784,8.775,8.868,8.857,8.725,8.678,8.682,8.656,9.625,9.346,8.952,8.447,https://flagcdn.com/w320/it.png
Japan,9.063,10.488,10.672,10.674,10.729,10.75,10.659,10.656,10.74,10.97,11.209,11.19,11.422,11.087,https://flagcdn.com/w320/jp.png
Korea,6.026,6.124,6.178,6.311,6.502,6.724,6.893,7.048,7.463,8.127,8.355,8.957,9.434,9.88,
Latvia,6.097,5.724,5.41,5.409,5.463,5.652,6.133,5.965,6.189,6.637,7.285,9.11,7.622,7.776,https://flagcdn.com/w320/lv.png
Lithuania,6.815,6.488,6.276,6.126,6.193,6.49,6.638,6.464,6.53,6.984,7.474,7.76,7.239,7.3,https://flagcdn.com/w320/lt.png
Luxembourg,6.662,5.952,5.294,5.236,5.23,5.081,5.071,5.135,5.28,5.465,5.765,5.661,5.552,5.783,https://flagcdn.com/w320/lu.png
Mexico,5.49,5.301,5.421,5.577,5.353,5.527,5.385,5.312,5.238,5.297,6.054,5.892,5.721,5.721,https://flagcdn.com/w320/mx.png
Netherlands,10.155,10.234,10.539,10.584,10.567,10.324,10.294,10.108,10.02,10.14,11.224,11.125,10.101,10.132,https://flagcdn.com/w320/nl.png
New Zealand,9.593,9.52,9.652,9.36,9.402,9.283,9.244,8.97,9.038,9.072,9.732,10.224,11.322,10.99,https://flagcdn.com/w320/nz.png
Norway,8.858,8.735,8.722,8.874,9.283,10.07,10.53,10.23,9.96,10.438,11.424,9.814,7.943,9.259,https://flagcdn.com/w320/no.png
Poland,6.468,6.287,6.265,6.48,6.319,6.404,6.571,6.583,6.313,6.46,6.497,6.439,6.381,6.988,https://flagcdn.com/w320/pl.png
Portugal,10.033,9.731,9.654,9.405,9.343,9.316,9.394,9.306,9.413,9.514,10.548,11.124,10.469,10.003,https://flagcdn.com/w320/pt.png
Slovak Republic,7.666,7.299,7.536,7.495,6.884,6.762,6.973,6.757,6.666,6.92,7.126,7.757,7.722,8.634,
Slovenia,8.565,8.536,8.715,8.74,8.502,8.517,8.478,8.185,8.277,8.491,9.428,9.481,9.605,9.413,https://flagcdn.com/w320/si.png
Spain,9.119,9.168,9.156,9.066,9.087,9.124,8.949,8.947,8.999,9.135,10.732,10.309,9.738,9.621,https://flagcdn.com/w320/es.png
Sweden,8.32,10.416,10.735,10.905,10.948,10.804,10.852,10.785,10.941,10.832,11.333,11.102,10.522,10.911,https://flagcdn.com/w320/se.png
Switzerland,10.005,10.119,10.348,10.615,10.7,11.004,11.229,11.413,11.199,11.426,12.004,12.005,11.707,11.972,https://flagcdn.com/w320/ch.png
Türkiye,5.021,4.653,4.444,4.371,4.325,4.117,4.285,4.18,4.121,4.36,4.616,4.561,3.703,4.206,https://flagcdn.com/w320/tr.png
United Kingdom,9.789,9.796,9.892,9.978,9.903,9.836,9.765,9.6,9.738,9.954,11.965,12.019,11.052,10.884,https://flagcdn.com/w320/gb.png
United States,16.197,16.14,16.12,15.951,16.141,16.401,16.693,16.638,16.516,16.553,18.582,17.299,16.496,16.683,https://flagcdn.com/w320/us.png
